legacy_code	folio_name
13TH-FLOOR	Available
15TH-FLOOR	Available
1ST-FLOOR	Available
2ND-FLOOR	Available
2NDFLR-REF	Available
3RD-FLOOR	Available
3RDFLR-REF	Available
ACAD-DATA	Available
ARABIC	Available
ARS-INPROCESS	Available
ARS-LOAN	Awaiting pickup
ARS-SPECIALPROJECTS	Available
ARS-WD-DIGITAL-SUB	Available
ART-AT-ENG	Available
ART-LOAN	Awaiting pickup
ART-PAGE-AR	Available
ART-RESV	Available
ART-SHADOW	Available
ART-WD-DIGITAL-SUB	Available
ARTLCKL	Available
ARTLCKL-R	Available
ARTLCKM	Available
ARTLCKM-R	Available
ARTLCKO	Available
ARTLCKO-R	Available
ARTLCKS	Available
ARTLCKS-R	Available
ARTVAULT	Available
ASK@EASIA	Available
ASK@GSB	Unknown
ASK@LANE	Unknown
ASSMD-LOST	Available
AT-REPAIR	In process
ATCIRCDESK	Available
ATLASES	Available
AVAIL_SOON	Available
B&F-HOLD	In process
BARCHAS	Available
BASEMENT	Available
BASEMNT	Available
BENDER	Available
BIB-INDEX	Available
BILLED-OD	Available
BINDERY	In process
BIO-LOAN	Awaiting pickup
BIO-RESV	Available
BIO-TEMP	Available
BOOKCAB	Available
BOX-COLL	Available
BRAN-RESV	Available
BRIT-DOCS	Available
BUS-ARCH	Available
BUS-CMC	Available
BUS-COMPF	Available
BUS-LOAN	Awaiting pickup
BUS-LOCKED	Available
BUS-MAKENA	Available
BUS-NEWBOOK	Available
BUS-PAGE-BU	Available
BUS-PER	Available
BUS-POP	Available
BUS-RESV	Available
BUS-SHADOW	Available
BUS-STACKS	Available
BUS-TEMP	Available
BUS-WD-DIGITAL-SUB	Available
BUSDISPLAY	Available
CALIF-DOCS	Available
CASE-MP	Available
CCRMA	Available
CDL	Available
CDL-2NDFL	Available
CDP	Available
CDP-CHI	Available
CDP-GER	Available
CDP-JUDA	Available
CDP-LAT	Available
CDP-ROM	Available
CDP-SLAV	Available
CHE-LOAN	Awaiting pickup
CHECKEDOUT	Available
CHECKSHELF	Available
CHEM-RESV	Available
CHINESE	Available
CHKD-OUT-D	Available
CLA-WD-DIGITAL-SUB	Available
COLL-WORKS	Available
COMPACT	Available
COOKBOOK	Available
COURSE-RES	Available
COURSE-VID	Available
CPM-HOLDS	In process (non-requestable)
CROTHERS	Available
CURRENTPER	Available
CURRICULUM	Available
CURRSTOR	Available
DOMESTIC	Available
DSPLAY-1ST	Unavailable
DSPLAY-2ND	Unavailable
E-RESV	Available
EAL-COURTESY-HOLD	Available
EAL-CURRENTPER	Available
EAL-INPROCESS	Available
EAL-PAGE-EA	Available
EAL-SCANREVIEW	Available
EAL-SETS	Available
EAL-SHADOW	Available
EAL-STKS-C	Available
EAL-STKS-J	Available
EAL-STKS-K	Available
EAL-WD-DIGITAL-SUB	Available
EALSAL-CHN	Available
EALSAL-JPN	Available
EALSAL-KOR	Available
EAR-DISPLAY-CIRC	Available
EAR-DISPLAY-MEZZ	Available
EAR-LOAN	Awaiting pickup
EAR-PAGE-ES	Available
EAR-PAGE-MP	Available
EAR-PROCESSING-AP	Available
EAR-PROCESSING-JC	Available
EAR-PROCESSING-PG	Available
EAR-PROCESSING-TR	Available
EAR-SCANLAB	Available
EAR-SHADOW	Available
