folio_code	legacy_code
ARS-MIGRATE-ERR	ARS *
ARS-RECORDINGS	ARS RECORDINGS
ARS-REF	ARS REFERENCE
ARS-STACKS	ARS STACKS
ARS-LOCKED	ARS LOCKED-STK
ARS-FOLIO	ARS FOLIO
ART-LOCKED-SMALL	ART ARTLCKS
ART-LOCKED-OVERSIZE-R	ART ARTLCKO-R
ART-LOCKED-OVERSIZE	ART ARTLCKO
ART-LOCKED-MEDIUM-R	ART ARTLCKM-R
ART-REF	ART REFERENCE
ART-LOCKED-LARGE	ART ARTLCKL
ART-INSTRUCTOR	ART INSTRUCTOR
ART-FOLIO	ART FOLIO
ART-LOCKED-LARGE-R	ART ARTLCKL-R
ART-CURRENTPER	ART CURRENTPER
ART-ATCIRCDESK	ART ATCIRCDESK
ART-REF-FOLIO	ART REF-FOLIO
ART-STACKS	ART STACKS
ART-MIGRATE-ERR	ART *
ART-LOCKED-SMALL-R	ART ARTLCKS-R
ART-LOCKED-MEDIUM	ART ARTLCKM
ART-MEDIA	ART MEDIA
BUS-TP	BUSINESS BUS-MAKENA
BUS-REF	BUSINESS REFERENCE
BUS-PERMRES	BUSINESS PERM-RES
BUS-PER	BUSINESS BUS-PER
BUS-NEWS-STKS	BUSINESS NEWS-STKS
BUS-MEDIA	BUSINESS MEDIA
BUS-LOCKED	BUSINESS BUS-LOCKED
BUS-STACKS	BUSINESS STACKS
BUS-IRONMT	BUSINESS PAGE-IRON
BUS-COMPF	BUSINESS BUS-COMPF
BUS-CAREER	BUSINESS BUS-CMC
BUS-ATCIRCDESK	BUSINESS ATCIRCDESK
BUS-ARCH	BUSINESS BUS-ARCH
BUS-MIGRATE-ERR	BUSINESS *
BUS-INSTRUCTOR	BUSINESS INSTRUCTOR
BUS-TEMP	BUSINESS BUS-TEMP
CLA-MIGRATE-ERR	CLASSICS *
CLA-STACKS	CLASSICS STACKS
EAR-MIGRATE-ERR	EARTH-SCI *
EAR-ATCIRCDESK	EARTH-SCI ATCIRCDESK
EAR-ATLASES	EARTH-SCI ATLASES
EAR-BIB-INDEX	EARTH-SCI BIB-INDEX
EAR-INSTRUCTOR	EARTH-SCI INSTRUCTOR
EAR-LOCKED-MAPS	EARTH-SCI LOCKED-MAP
EAR-LOCKED-STACKS	EARTH-SCI LOCKED-STK
EAR-MAP-CASES	EARTH-SCI MAP-CASES
EAR-MAP-FILES	EARTH-SCI MAP-FILE
EAR-MEDIA	EARTH-SCI MEDIA
EAR-MEZZANINE	EARTH-SCI MEZZANINE
EAR-MICROTEXT	EARTH-SCI MICROTEXT
EAR-TECH-REPORTS	EARTH-SCI TECH-RPTS
EAR-STORAGE	EARTH-SCI STORAGE
EAR-STOR-MAPS	EARTH-SCI MAP-STOR
EAR-THESES	EARTH-SCI THESES
EAR-STAFFSHADOW	EARTH-SCI STAFSHADOW
EAR-STACKS	EARTH-SCI STACKS
EAR-READY-REF	EARTH-SCI READY-REF
EAR-STOR-LOCKED	EARTH-SCI LCK-STOR
EAL-JAPANESE	EAST-ASIA JAPANESE
EAL-NEWSPAPERS	EAST-ASIA NEWSPAPERS
EAL-MIGRATE-ERR	EAST-ASIA *
EAL-CHINESE	EAST-ASIA CHINESE
EAL-FOLIO-CHINESE	EAST-ASIA FOLIO-CHN
EAL-FOLIO-JAPANESE	EAST-ASIA FOLIO-JPN
EAL-FOLIO-KOREAN	EAST-ASIA FOLIO-KOR
EAL-KOREAN	EAST-ASIA KOREAN
EAL-LOCKED-OVERSIZE	EAST-ASIA LOCK-STK-O
EAL-MEDIA	EAST-ASIA MEDIA
EAL-REF	EAST-ASIA REFERENCE
EAL-SETS	EAST-ASIA SETS
EAL-STAFFSHADOW	EAST-ASIA STAFSHADOW
EAL-LOCKED	EAST-ASIA LOCKED-STK
EDU-MICROTEXT	EDUCATION MICROTEXT
EDU-STACKS	EDUCATION STACKS
EDU-CURRICULUM	EDUCATION CURRICULUM
EDU-REF	EDUCATION REFERENCE
EDU-CURRSTOR	EDUCATION CURRSTOR
EDU-MIGRATE-ERR	EDUCATION *
EDU-LOCKED	EDUCATION LOCKED-STK
EDU-INSTRUCTOR	EDUCATION INSTRUCTOR
ENG-PER	ENG SHELBYTITL
ENG-EQUIPMENT	ENG EQUIPMENT
ENG-INSTRUCTOR	ENG INSTRUCTOR
ENG-PER	ENG ENGDISPLAY
ENG-PERMRES	ENG PERM-RES
ENG-SCIFI	ENG SCIFI
ENG-MIGRATE-ERR	ENG *
ENG-TIMO-COLL	ENG TIMO-COLL
ENG-STACKS	ENG STACKS
ENG-STK-NONCIRC	ENG STK-NOCIRC
ENG-TERM-COLL	ENG TERM-COLL
GRE-MIGRATE-ERR	GREEN *
HILA-TINY	HOOVER TINY
HILA-STACKS	HOOVER STACKS
HILA-REF	HOOVER REFERENCE
HILA-OVERSIZED	HOOVER OVERSIZED
HILA-FLATFILES	HOOVER MAPS
HILA-MICROFORMS	HOOVER MICROFILM
HILA-MICROFORMS	HOOVER MICROFICHE
HILA-FOLIO	HOOVER FOLIO
HILA-STACKS	HOOVER ARABIC
HILA-STACKS	HOOVER TURKISH
HILA-MICROFORMS	HOOVER MICROTEXT
HILA-VAULT	HOOVER VAULT
HILA-STACKS	HOOVER PERSIAN
HILA-MIGRATE-ERR	HOOVER *
MAR-CHILDRENYA	HOPKINS JUVENILE
MAR-STACKS	HOPKINS STACKS
MAR-SERIALS	HOPKINS SERIALS
MAR-MIGRATE-ERR	HOPKINS *
MAR-MAPS	HOPKINS MAPS
MAR-SHELBYTITLE	HOPKINS SHELBYTITL
MAR-LOCKED-THESES	HOPKINS THESES
MAR-POPSCI	HOPKINS POPSCI
MAR-LOCKED-STACKS	HOPKINS LOCKED-STK
MAR-LOCKED-MEDIA	HOPKINS MEDIA
MAR-EXPEDITIONS	HOPKINS EXPEDITION
MAR-ATLASES	HOPKINS ATLASES
MAR-BALDRIDGE	HOPKINS BALDRIDGE
LANE-ARAB	LANE LANE-ARAB
LANE-ARASZ	LANE LANE-ARASZ
LANE-ARCH	LANE LANE-ARCH
LANE-AV	LANE LANE-AV
LANE-BSP	LANE LANE-BSP
LANE-BSW	LANE LANE-BSW
LANE-CDLC	LANE LANE-CDLC
LANE-COM	LANE LANE-COM
LANE-COMP	LANE LANE-COMP
LANE-COR	LANE LANE-COR
LANE-CRDSK	LANE LANE-CRDSK
LANE-CRES	LANE LANE-CRES
LANE-DCORE	LANE LANE-DCORE
LANE-ECOLL	LANE LANE-ECOLL
LANE-ECOMP	LANE LANE-ECOMP
LANE-EDATA	LANE LANE-EDATA
LANE-EDOC	LANE LANE-EDOC
LANE-EPER	LANE LANE-EPER
LANE-EQUIP	LANE LANE-EQUIP
LANE-ERQC	LANE LANE-ERQC
LANE-FLAT	LANE LANE-FLAT
LANE-FOLIO	LANE LANE-FOLIO
LANE-FOTOF	LANE LANE-FOTOF
LANE-HIST	LANE LANE-HIST
LANE-HSFLE	LANE LANE-HSFLE
LANE-IMAGE	LANE LANE-IMAGE
LANE-INSTR	LANE LANE-INSTR
LANE-ISIIF	LANE LANE-ISIIF
LANE-LAN	LANE LANE-LAN
LANE-LIBR	LANE LANE-LIBR
LANE-LKSC	LANE LANE-LKSC
LANE-MAP	LANE LANE-MAP
LANE-MINI	LANE LANE-MINI
LANE-MOBI	LANE LANE-MOBI
LANE-MSS	LANE LANE-MSS
LANE-NEWB	LANE LANE-NEWB
LANE-NLOC	LANE LANE-NLOC
LANE-NOLOC	LANE LANE-NOLOC
LANE-OLD	LANE LANE-OLD
LANE-OVPER	LANE LANE-OVPER
LANE-OVSZE	LANE LANE-OVSZE
LANE-PANL	LANE LANE-PANL
LANE-PARCH	LANE LANE-PARCH
LANE-PER	LANE LANE-PER
LANE-PORT	LANE LANE-PORT
LANE-PREF	LANE LANE-PREF
LANE-PRREF	LANE LANE-PRREF
LANE-PSPEC	LANE LANE-PSPEC
LANE-PTS	LANE LANE-PTS
LANE-REF	LANE LANE-REF
LANE-RREF	LANE LANE-RREF
LANE-RTHSS	LANE LANE-RTHSS
LANE-SAL3	LANE LANE-SAL3
LANE-SAL3X	LANE LANE-SAL3X
LANE-SERIES	LANE LANE-SERIES
LANE-SFLAT	LANE LANE-SFLAT
LANE-SFOL	LANE LANE-SFOL
LANE-SOMCC	LANE LANE-SOMCC
LANE-SPAV	LANE LANE-SPAV
LANE-SPEC	LANE LANE-SPEC
LANE-SPLCO	LANE LANE-SPLCO
LANE-SPOLD	LANE LANE-SPOLD
LANE-SPOO1	LANE LANE-SPOO1
LANE-SPOO2	LANE LANE-SPOO2
LANE-SPOO3	LANE LANE-SPOO3
LANE-SREF	LANE LANE-SREF
LANE-STRG	LANE LANE-STRG
LANE-TS	LANE LANE-TS
LANE-WKSTD	LANE LANE-WKSTD
LAW-FOLIO-BASEMENT	LAW FOLIO-BAS
LAW-VROOMAN2	LAW VROOMAN2
LAW-VROOMAN-OV	LAW VROOMAN-OV
LAW-TECHSHADOW	LAW TECH-SERV
LAW-STACKS2	LAW STACKS-2
LAW-VROOMAN	LAW VROOMAN
LAW-PERMRES	LAW PERM-RES
LAW-MICROTEXT	LAW MICROTEXT
LAW-LOCKED	LAW LOCKED-STK
LAW-CAREER	LAW LAW-CAREER
LAW-OUTDOOR-TRAVEL	LAW OUT-TRAVEL
LAW-BOOKCABINET	LAW BOOKCAB
LAW-WELLNESS	LAW WELLNESS
LAW-REF	LAW REFERENCE
LAW-INSTRUCTOR	LAW INSTRUCTOR
