HOMELOCATION	LIBRARY	folio_code
FOLIO	ARS	ARS-FOLIO
LOCKED-STK	ARS	ARS-LOCKED
ARS-MIGRATE-ERR	ARS-MIGRATE-ERR	ARS-MIGRATE-ERR
RECORDINGS	ARS	ARS-RECORDINGS
REFERENCE	ARS	ARS-REF
STACKS	ARS	ARS-STACKS
ATCIRCDESK	ART	ART-ATCIRCDESK
CURRENTPER	ART	ART-CURRENTPER
ARTLCKL-R	ART	ART-LOCKED-LARGE-R
FOLIO	ART	ART-FOLIO
INSTRUCTOR	ART	ART-INSTRUCTOR
ARTLCKL	ART	ART-LOCKED-LARGE
CLA-MIGRATE-ERR	CLA-MIGRATE-ERR	CLA-MIGRATE-ERR
STACKS	CLASSICS	CLA-STACKS
CHINESE	EAST-ASIA	EAL-CHINESE
FOLIO-CHN	EAST-ASIA	EAL-FOLIO-CHINESE
FOLIO-JPN	EAST-ASIA	EAL-FOLIO-JAPANESE
ARTLCKM	ART	ART-LOCKED-MEDIUM
ARTLCKM-R	ART	ART-LOCKED-MEDIUM-R
ARTLCKO	ART	ART-LOCKED-OVERSIZE
ARTLCKO-R	ART	ART-LOCKED-OVERSIZE-R
ARTLCKS	ART	ART-LOCKED-SMALL
ARTLCKS-R	ART	ART-LOCKED-SMALL-R
MEDIA	ART	ART-MEDIA
CURRICULUM	EDUCATION	EDU-CURRICULUM
STACKS	EDUCATION	EDU-STACKS
ART-MIGRATE-ERR	ART-MIGRATE-ERR	ART-MIGRATE-ERR
REFERENCE	ART	ART-REF
REF-FOLIO	ART	ART-REF-FOLIO
FOLIO-KOR	EAST-ASIA	EAL-FOLIO-KOREAN
JAPANESE	EAST-ASIA	EAL-JAPANESE
KOREAN	EAST-ASIA	EAL-KOREAN
LOCKED-STK	EAST-ASIA	EAL-LOCKED
LOCK-STK-O	EAST-ASIA	EAL-LOCKED-OVERSIZE
REFERENCE	EDUCATION	EDU-REF
KU/CC/DI/A	KU/CC/DI/A	KU/CC/DI/A
KU/CC/DI/M	KU/CC/DI/M	KU/CC/DI/M
KU/CC/DI/O	KU/CC/DI/O	KU/CC/DI/O
KU/CC/DI/P	KU/CC/DI/P	KU/CC/DI/P
E	E	E
KU/CC/DI/2	KU/CC/DI/2	KU/CC/DI/2
STACKS	ART	ART-STACKS
MEDIA	EAST-ASIA	EAL-MEDIA
NEWSPAPERS	EAST-ASIA	EAL-NEWSPAPERS
BUS-ARCH	BUSINESS	BUS-ARCH
ATCIRCDESK	BUSINESS	BUS-ATCIRCDESK
BUS-CMC	BUSINESS	BUS-CAREER
BUS-COMPF	BUSINESS	BUS-COMPF
INSTRUCTOR	BUSINESS	BUS-INSTRUCTOR
PAGE-IRON	BUSINESS	BUS-IRONMT
BUS-LOCKED	BUSINESS	BUS-LOCKED
MEDIA	BUSINESS	BUS-MEDIA
BUS-MIGRATE-ERR	BUS-MIGRATE-ERR	BUS-MIGRATE-ERR
NEWS-STKS	BUSINESS	BUS-NEWS-STKS
BUS-PER	BUSINESS	BUS-PER
PERM-RES	BUSINESS	BUS-PERMRES
REFERENCE	BUSINESS	BUS-REF
STACKS	BUSINESS	BUS-STACKS
EDU-MIGRATE-ERR	EDU-MIGRATE-ERR	EDU-MIGRATE-ERR
BUS-TEMP	BUSINESS	BUS-TEMP
BUS-MAKENA	BUSINESS	BUS-TP
EAL-MIGRATE-ERR	EAL-MIGRATE-ERR	EAL-MIGRATE-ERR
REFERENCE	EAST-ASIA	EAL-REF
SETS	EAST-ASIA	EAL-SETS
STAFSHADOW	EAST-ASIA	EAL-STAFFSHADOW
MEZZ-STOR	EARTH-SCI	EAR-4TRANSFER
ATCIRCDESK	EARTH-SCI	EAR-ATCIRCDESK
ATLASES	EARTH-SCI	EAR-ATLASES
BIB-INDEX	EARTH-SCI	EAR-BIB-INDEX
INSTRUCTOR	EARTH-SCI	EAR-INSTRUCTOR
LOCKED-MAP	EARTH-SCI	EAR-LOCKED-MAPS
LOCKED-STK	EARTH-SCI	EAR-LOCKED-STACKS
MAP-CASES	EARTH-SCI	EAR-MAP-CASES
MAP-FILE	EARTH-SCI	EAR-MAP-FILES
MEDIA	EARTH-SCI	EAR-MEDIA
MEZZANINE	EARTH-SCI	EAR-MEZZANINE
MICROTEXT	EARTH-SCI	EAR-MICROTEXT
EAR-MIGRATE-ERR	EAR-MIGRATE-ERR	EAR-MIGRATE-ERR
READY-REF	EARTH-SCI	EAR-READY-REF
STACKS	EARTH-SCI	EAR-STACKS
STAFSHADOW	EARTH-SCI	EAR-STAFFSHADOW
LCK-STOR	EARTH-SCI	EAR-STOR-LOCKED
MAP-STOR	EARTH-SCI	EAR-STOR-MAPS
STORAGE	EARTH-SCI	EAR-STORAGE
